*id	rating	
1	92	
2	92	
3	90	
4	89	
5	89	
6	89	
7	89	
8	89	
9	89	
10	88	
11	88	
12	87	
13	87	
14	87	
15	87	
16	87	
17	87	
18	87	
19	86	
20	86	
21	86	
22	86	
23	86	
24	86	
25	86	
26	86	
27	86	
28	85	
29	85	
30	85	
31	85	
32	85	
33	85	
34	85	
35	85	
36	85	
37	85	
38	85	
39	85	
40	85	
41	85	
42	85	
43	85	
44	85	
45	85	
46	85	
47	85	
48	85	
49	85	
50	84	
51	84	
52	84	
53	84	
54	84	
55	84	
56	84	
57	84	
58	84	
59	84	
60	84	
61	84	
62	84	
63	84	
64	84	
65	84	
66	84	
67	84	
68	84	
69	84	
70	84	
71	83	
72	83	
73	83	
74	83	
75	83	
76	83	
77	83	
78	83	
79	83	
80	83	
81	83	
82	83	
83	83	
84	83	
85	83	
86	83	
87	83	
88	83	
89	83	
90	83	
91	83	
92	83	
93	83	
94	83	
95	83	
96	83	
97	83	
98	83	
99	83	
100	83	
101	83	
102	83	
103	83	
104	83	
105	82	
106	82	
107	82	
108	82	
109	82	
110	82	
111	82	
112	82	
113	82	
114	82	
115	82	
116	82	
117	82	
118	82	
119	82	
120	82	
121	82	
122	82	
123	82	
124	82	
125	82	
126	82	
127	82	
128	82	
129	82	
130	82	
131	82	
132	82	
133	82	
134	82	
135	82	
136	82	
137	82	
138	82	
139	82	
140	82	
141	82	
142	82	
143	82	
144	82	
145	82	
146	82	
147	82	
148	82	
149	82	
150	82	
151	81	
152	81	
153	81	
154	81	
155	81	
156	81	
157	81	
158	81	
159	81	
160	81	
161	81	
162	81	
163	81	
164	81	
165	81	
166	81	
167	81	
168	81	
169	81	
170	81	
171	81	
172	81	
173	81	
174	81	
175	81	
176	81	
177	81	
178	81	
179	81	
180	81	
181	81	
182	81	
183	81	
184	81	
185	81	
186	81	
187	81	
188	81	
189	81	
190	81	
191	81	
192	81	
193	81	
194	81	
195	81	
196	81	
197	81	
198	81	
199	81	
200	81	
201	81	
202	81	
203	81	
204	81	
205	80	
206	80	
207	80	
208	80	
209	80	
210	80	
211	80	
212	80	
213	80	
214	80	
215	80	
216	80	
217	80	
218	80	
219	80	
220	80	
221	80	
222	80	
223	80	
224	80	
225	80	
226	80	
227	80	
228	80	
229	80	
230	80	
231	80	
232	80	
233	80	
234	80	
235	80	
236	80	
237	80	
238	80	
239	80	
240	80	
241	80	
242	80	
243	80	
244	80	
245	80	
246	80	
247	80	
248	80	
249	80	
250	80	
